order_no,user_id,password,gender,age,cheese_name,cheese_texture,cheese_category,buy_count,total_price
0,2391853,1,M,40,리코타 치즈,후레쉬치즈,리코타,1,4600
1,1799897,1,F,40,리코타 치즈,후레쉬치즈,리코타,1,4600
2,1614947,1,F,50,모짜렐라,후레쉬치즈,모짜렐라,1,5500
6,6523993,1,F,50,모짜렐라,후레쉬치즈,모짜렐라,1,5500
9,389215,1,F,50,모짜렐라,후레쉬치즈,모짜렐라,1,5500
12,6323711,1,F,40,모짜렐라 부팔라,후레쉬치즈,모짜렐라,2,12480
15,4604267,1,M,40,리코타 치즈,후레쉬치즈,리코타,1,11900
16,1915490,1,F,40,리코타 치즈,후레쉬치즈,리코타,1,11900
17,652746,1,F,40,리코타 치즈,후레쉬치즈,리코타,1,11900
18,382566,1,F,40,리코타 치즈,후레쉬치즈,리코타,1,11900
21,272515,1,F,40,리코타 치즈,후레쉬치즈,리코타,1,11900
22,4163349,1,F,50,모짜렐라 치즈,후레쉬치즈,모짜렐라,7,32200
27,6170791,1,F,50,모짜렐라 치즈,후레쉬치즈,모짜렐라,5,23000
30,4298482,1,F,40,파르미지아노 레지아노 18개월,하드치즈,파르미지아노 레지아노,1,8900
31,6202368,1,F,40,에멘탈 슬라이스,세미하드치즈,에멘탈,1,5500
32,4902864,1,F,20,에멘탈 슬라이스,세미하드치즈,에멘탈,1,5500
33,4129481,1,F,50,에멘탈 슬라이스,세미하드치즈,에멘탈,1,5500
34,6201197,1,F,20,에멘탈 슬라이스,세미하드치즈,에멘탈,1,5500
39,6468390,1,M,50,에멘탈 슬라이스,세미하드치즈,에멘탈,1,5500
40,4200308,1,F,40,에멘탈 슬라이스,세미하드치즈,에멘탈,1,5500
41,166615,1,F,30,리코타 치즈,후레쉬치즈,리코타,1,8240
42,4458784,1,F,40,파르미지아노 레지아노 22개월,하드치즈,파르미지아노 레지아노,1,5900
45,1626216,1,M,40,파르미지아노 레지아노 22개월,하드치즈,파르미지아노 레지아노,1,5900
46,3453039,1,F,40,파르미지아노 레지아노 22개월,하드치즈,파르미지아노 레지아노,3,17700
