order_no,user_id,password,gender,age,cheese_name,cheese_texture,cheese_category,buy_count,total_price,user_no,name_no,name
0.0,2391853.0,1.0,M,40.0,리코타 치즈,후레쉬치즈,리코타,1.0,4600.0,0.0,0.0,나위빛
1.0,1799897.0,1.0,F,40.0,리코타 치즈,후레쉬치즈,리코타,1.0,4600.0,1.0,1.0,변섬린
2.0,1614947.0,1.0,F,50.0,모짜렐라,후레쉬치즈,모짜렐라,1.0,5500.0,2.0,2.0,도설누
,,,,,,,,,,,3.0,임실준
,,,,,,,,,,,4.0,국성탁
,,,,,,,,,,,5.0,조승곤
6.0,6523993.0,1.0,F,50.0,모짜렐라,후레쉬치즈,모짜렐라,1.0,5500.0,6.0,6.0,왕유흥
,,,,,,,,,,,7.0,이규출
,,,,,,,,,,,8.0,윤초삼
9.0,389215.0,1.0,F,50.0,모짜렐라,후레쉬치즈,모짜렐라,1.0,5500.0,9.0,9.0,인강부
,,,,,,,,,,,10.0,변린걸
,,,,,,,,,,,11.0,배람하
12.0,6323711.0,1.0,F,40.0,모짜렐라 부팔라,후레쉬치즈,모짜렐라,2.0,12480.0,12.0,12.0,옥해현
,,,,,,,,,,,13.0,원백택
,,,,,,,,,,,14.0,백인가
15.0,4604267.0,1.0,M,40.0,리코타 치즈,후레쉬치즈,리코타,1.0,11900.0,15.0,15.0,변광치
16.0,1915490.0,1.0,F,40.0,리코타 치즈,후레쉬치즈,리코타,1.0,11900.0,16.0,16.0,오학옥
17.0,652746.0,1.0,F,40.0,리코타 치즈,후레쉬치즈,리코타,1.0,11900.0,17.0,17.0,고울윤
18.0,382566.0,1.0,F,40.0,리코타 치즈,후레쉬치즈,리코타,1.0,11900.0,18.0,18.0,정울탁
,,,,,,,,,,,19.0,길구량
,,,,,,,,,,,20.0,강용근
21.0,272515.0,1.0,F,40.0,리코타 치즈,후레쉬치즈,리코타,1.0,11900.0,21.0,21.0,장가개
22.0,4163349.0,1.0,F,50.0,모짜렐라 치즈,후레쉬치즈,모짜렐라,7.0,32200.0,22.0,22.0,원길온
,,,,,,,,,,,23.0,방후헌
,,,,,,,,,,,24.0,변나술
,,,,,,,,,,,25.0,장제번
,,,,,,,,,,,26.0,심휘추
27.0,6170791.0,1.0,F,50.0,모짜렐라 치즈,후레쉬치즈,모짜렐라,5.0,23000.0,27.0,27.0,추민준
,,,,,,,,,,,28.0,임사진
,,,,,,,,,,,29.0,어양령
30.0,4298482.0,1.0,F,40.0,파르미지아노 레지아노 18개월,하드치즈,파르미지아노 레지아노,1.0,8900.0,30.0,30.0,성롱삼
31.0,6202368.0,1.0,F,40.0,에멘탈 슬라이스,세미하드치즈,에멘탈,1.0,5500.0,31.0,31.0,이중섭
32.0,4902864.0,1.0,F,20.0,에멘탈 슬라이스,세미하드치즈,에멘탈,1.0,5500.0,32.0,32.0,양얀시
33.0,4129481.0,1.0,F,50.0,에멘탈 슬라이스,세미하드치즈,에멘탈,1.0,5500.0,33.0,33.0,서석식
34.0,6201197.0,1.0,F,20.0,에멘탈 슬라이스,세미하드치즈,에멘탈,1.0,5500.0,34.0,34.0,서열무
,,,,,,,,,,,35.0,천직경
,,,,,,,,,,,36.0,구련혜
,,,,,,,,,,,37.0,제재초
,,,,,,,,,,,38.0,편정슬
39.0,6468390.0,1.0,M,50.0,에멘탈 슬라이스,세미하드치즈,에멘탈,1.0,5500.0,39.0,39.0,방가헌
40.0,4200308.0,1.0,F,40.0,에멘탈 슬라이스,세미하드치즈,에멘탈,1.0,5500.0,40.0,40.0,탁엄기
41.0,166615.0,1.0,F,30.0,리코타 치즈,후레쉬치즈,리코타,1.0,8240.0,41.0,41.0,최판설
42.0,4458784.0,1.0,F,40.0,파르미지아노 레지아노 22개월,하드치즈,파르미지아노 레지아노,1.0,5900.0,42.0,42.0,명준철
,,,,,,,,,,,43.0,전충옥
,,,,,,,,,,,44.0,탁희홍
45.0,1626216.0,1.0,M,40.0,파르미지아노 레지아노 22개월,하드치즈,파르미지아노 레지아노,1.0,5900.0,45.0,45.0,장지슬
46.0,3453039.0,1.0,F,40.0,파르미지아노 레지아노 22개월,하드치즈,파르미지아노 레지아노,3.0,17700.0,46.0,46.0,곽송송
47.0,3183397.0,1.0,F,40.0,파르미지아노 레지아노 22개월,하드치즈,파르미지아노 레지아노,1.0,5900.0,47.0,47.0,임박추
,,,,,,,,,,,48.0,강유균
49.0,2973972.0,1.0,F,40.0,파르미지아노 레지아노 22개월,하드치즈,파르미지아노 레지아노,1.0,5900.0,49.0,49.0,방들흥
,,,,,,,,,,,50.0,허란빈
51.0,1264114.0,1.0,F,40.0,파르미지아노 레지아노 22개월,하드치즈,파르미지아노 레지아노,1.0,5900.0,51.0,51.0,남소석
52.0,6015294.0,1.0,F,50.0,파르미지아노 레지아노 22개월,하드치즈,파르미지아노 레지아노,1.0,5900.0,52.0,52.0,국문규
53.0,5115618.0,1.0,F,30.0,파르미지아노 레지아노 22개월,하드치즈,파르미지아노 레지아노,1.0,5900.0,53.0,53.0,도병숙
,,,,,,,,,,,54.0,진성율
,,,,,,,,,,,55.0,기장가
,,,,,,,,,,,56.0,정순부
57.0,5843043.0,1.0,M,40.0,파르미지아노 레지아노 22개월,하드치즈,파르미지아노 레지아노,1.0,5900.0,57.0,57.0,조설번
58.0,2860104.0,1.0,F,50.0,파르미지아노 레지아노 22개월,하드치즈,파르미지아노 레지아노,1.0,5900.0,58.0,58.0,노소보
,,,,,,,,,,,59.0,변비엽
,,,,,,,,,,,60.0,구휘성
,,,,,,,,,,,61.0,노들요
,,,,,,,,,,,62.0,홍대림
63.0,5058880.0,1.0,M,40.0,파르미지아노 레지아노 22개월,하드치즈,파르미지아노 레지아노,1.0,5900.0,63.0,63.0,연잔고
,,,,,,,,,,,64.0,백서모
,,,,,,,,,,,65.0,문신삼
66.0,3193829.0,1.0,M,40.0,파르미지아노 레지아노 22개월,하드치즈,파르미지아노 레지아노,1.0,5900.0,66.0,66.0,강련평
67.0,4445493.0,1.0,F,40.0,파르미지아노 레지아노 22개월,하드치즈,파르미지아노 레지아노,2.0,11800.0,67.0,67.0,선령평
68.0,1482759.0,1.0,F,50.0,파르미지아노 레지아노 22개월,하드치즈,파르미지아노 레지아노,1.0,5900.0,68.0,68.0,은미신
,,,,,,,,,,,69.0,원라위
70.0,3710295.0,1.0,M,30.0,파르미지아노 레지아노 22개월,하드치즈,파르미지아노 레지아노,1.0,5900.0,70.0,70.0,구보성
,,,,,,,,,,,71.0,주란람
,,,,,,,,,,,72.0,권조창
,,,,,,,,,,,73.0,주설형
74.0,3801882.0,1.0,F,30.0,미국 전통 치즈 5종,세미하드,체다,10.0,49000.0,74.0,74.0,마유직
,,,,,,,,,,,75.0,정애견
