order_no,user_id,password,gender,age,cheese_name,cheese_texture,cheese_category,buy_count,total_price,name_no,name,phone,email
0,2391853,1,M,40,리코타 치즈,후레쉬치즈,리코타,1,4600,0,제구윤,010-1111-1111,xVB12@gamil.com
1,1799897,1,F,40,리코타 치즈,후레쉬치즈,리코타,1,4600,1,유술손,010-1111-1111,xYN316@gamil.com
2,1614947,1,F,50,모짜렐라,후레쉬치즈,모짜렐라,1,5500,2,정휴혁,010-1111-1111,DEl76@naver.com
6,6523993,1,F,50,모짜렐라,후레쉬치즈,모짜렐라,1,5500,6,원애영,010-1111-1111,CRR888@naver.com
9,389215,1,F,50,모짜렐라,후레쉬치즈,모짜렐라,1,5500,9,공충두,010-1111-1111,SZw124@naver.com
12,6323711,1,F,40,모짜렐라 부팔라,후레쉬치즈,모짜렐라,2,12480,12,장관출,010-1111-1111,uEa776@naver.com
15,4604267,1,M,40,리코타 치즈,후레쉬치즈,리코타,1,11900,15,금빛마,010-1111-1111,qPX958@naver.com
16,1915490,1,F,40,리코타 치즈,후레쉬치즈,리코타,1,11900,16,채욱단,010-1111-1111,SvD290@naver.com
17,652746,1,F,40,리코타 치즈,후레쉬치즈,리코타,1,11900,17,제걸현,010-1111-1111,kxY456@gamil.com
18,382566,1,F,40,리코타 치즈,후레쉬치즈,리코타,1,11900,18,박배항,010-1111-1111,YyE882@naver.com
21,272515,1,F,40,리코타 치즈,후레쉬치즈,리코타,1,11900,21,여엄남,010-1111-1111,LeN668@gamil.com
22,4163349,1,F,50,모짜렐라 치즈,후레쉬치즈,모짜렐라,7,32200,22,최서솔,010-1111-1111,YIb846@gamil.com
27,6170791,1,F,50,모짜렐라 치즈,후레쉬치즈,모짜렐라,5,23000,27,왕부잔,010-1111-1111,Wpd696@gamil.com
30,4298482,1,F,40,파르미지아노 레지아노 18개월,하드치즈,파르미지아노 레지아노,1,8900,30,권백제,010-1111-1111,mia916@gamil.com
31,6202368,1,F,40,에멘탈 슬라이스,세미하드치즈,에멘탈,1,5500,31,한더별,010-1111-1111,OjJ44@gamil.com
32,4902864,1,F,20,에멘탈 슬라이스,세미하드치즈,에멘탈,1,5500,32,원해헌,010-1111-1111,GCf372@naver.com
33,4129481,1,F,50,에멘탈 슬라이스,세미하드치즈,에멘탈,1,5500,33,민마조,010-1111-1111,MuM212@naver.com
34,6201197,1,F,20,에멘탈 슬라이스,세미하드치즈,에멘탈,1,5500,34,김수조,010-1111-1111,XgF346@naver.com
39,6468390,1,M,50,에멘탈 슬라이스,세미하드치즈,에멘탈,1,5500,39,육추규,010-1111-1111,ThM340@gamil.com
40,4200308,1,F,40,에멘탈 슬라이스,세미하드치즈,에멘탈,1,5500,40,손구훈,010-1111-1111,isF302@gamil.com
41,166615,1,F,30,리코타 치즈,후레쉬치즈,리코타,1,8240,41,공견이,010-1111-1111,gfC122@naver.com
42,4458784,1,F,40,파르미지아노 레지아노 22개월,하드치즈,파르미지아노 레지아노,1,5900,42,남훈백,010-1111-1111,Fxp484@gamil.com
45,1626216,1,M,40,파르미지아노 레지아노 22개월,하드치즈,파르미지아노 레지아노,1,5900,45,기엄술,010-1111-1111,Nzm14@naver.com
46,3453039,1,F,40,파르미지아노 레지아노 22개월,하드치즈,파르미지아노 레지아노,3,17700,46,박두서,010-1111-1111,syA812@gamil.com
